Name,X,Y,Width,Height
三兆公墓,201,39,1,1
甘家寨,95,53,1,1
隋大兴唐长安城明德门遗址公园,133,40,1,1
木塔寺生态遗址公园,89,43,1,1
西安市曲江第一学校,178,51,1,1
杜邑遗址公园,220,31,1,1
西安植物园,223,44,1,1
曲江立交交汇点,196,33,1,1
紫薇永和坊,150,30,1,1
陕西师范大学,145,39,1,1
西安交通大学（曲江校区）,194,59,1,1
小寨村小区,143,56,1,1
盛大时代广场,84,69,1,1
太白小区,113,57,1,1
西高新立交,86,23,1,1
陕西大会堂,64,38,1,1
软件新城云汇谷,27,41,1,1
西安职业技术学院,33,62,1,1
雁南公园,95,13,1,1
赛格购物中心,141,58,1,1
西安人才公园,33,49,1,1
陕西历史博物馆,148,59,1,1
大雁塔,157,58,1,1
大唐芙蓉园,167,47,1,1
