路径,长度,危险系数
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大雁塔,6.380,8.846
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 小寨村小区-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,13.881,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 小寨村小区-> 赛格购物中心-> 大雁塔,13.869,18.724
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 小寨村小区-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,14.797,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,13.506,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 小寨村小区-> 大雁塔,13.438,16.160
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,13.978,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 小寨村小区-> 大雁塔,13.910,18.724
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 小寨村小区-> 大雁塔,14.838,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,13.832,23.059
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 大雁塔,13.821,18.191
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 陕西历史博物馆-> 小寨村小区-> 赛格购物中心-> 大雁塔,14.692,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 陕西历史博物馆-> 小寨村小区-> 大雁塔,14.261,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 陕西历史博物馆-> 赛格购物中心-> 小寨村小区-> 大雁塔,14.636,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,14.546,23.059
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,13.255,20.495
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 大雁塔,12.628,15.627
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,16.037,23.591
