起始位置,目标位置,方向,距离
三兆公墓,西安市曲江第一学校,西,25.942
三兆公墓,杜邑遗址公园,东,20.616
三兆公墓,西安植物园,东,22.561
三兆公墓,曲江立交交汇点,西南,7.810
三兆公墓,西安交通大学（曲江校区）,北,21.190
甘家寨,木塔寺生态遗址公园,西南,11.662
甘家寨,盛大时代广场,西北,19.416
甘家寨,太白小区,东,18.439
隋大兴唐长安城明德门遗址公园,紫薇永和坊,东南,19.723
隋大兴唐长安城明德门遗址公园,陕西师范大学,东,12.042
隋大兴唐长安城明德门遗址公园,小寨村小区,东北,18.868
隋大兴唐长安城明德门遗址公园,太白小区,西北,26.249
隋大兴唐长安城明德门遗址公园,赛格购物中心,北,19.698
隋大兴唐长安城明德门遗址公园,陕西历史博物馆,东北,24.207
木塔寺生态遗址公园,甘家寨,东北,11.662
木塔寺生态遗址公园,盛大时代广场,北,26.476
木塔寺生态遗址公园,西高新立交,南,20.224
木塔寺生态遗址公园,陕西大会堂,西,25.495
西安市曲江第一学校,三兆公墓,东,25.942
西安市曲江第一学校,曲江立交交汇点,东南,25.456
西安市曲江第一学校,西安交通大学（曲江校区）,东,17.889
西安市曲江第一学校,大雁塔,西,22.136
西安市曲江第一学校,大唐芙蓉园,西,11.705
杜邑遗址公园,三兆公墓,西,20.616
杜邑遗址公园,西安植物园,北,13.342
杜邑遗址公园,曲江立交交汇点,西,24.083
西安植物园,三兆公墓,西,22.561
西安植物园,杜邑遗址公园,南,13.342
曲江立交交汇点,三兆公墓,东北,7.810
曲江立交交汇点,西安市曲江第一学校,西北,25.456
曲江立交交汇点,杜邑遗址公园,东,24.083
曲江立交交汇点,西安交通大学（曲江校区）,北,26.077
紫薇永和坊,隋大兴唐长安城明德门遗址公园,西北,19.723
紫薇永和坊,陕西师范大学,北,10.296
紫薇永和坊,小寨村小区,北,26.926
紫薇永和坊,大唐芙蓉园,东北,24.042
陕西师范大学,隋大兴唐长安城明德门遗址公园,西,12.042
陕西师范大学,紫薇永和坊,南,10.296
陕西师范大学,小寨村小区,北,17.117
陕西师范大学,赛格购物中心,北,19.416
陕西师范大学,陕西历史博物馆,北,20.224
陕西师范大学,大雁塔,东北,22.472
陕西师范大学,大唐芙蓉园,东,23.409
西安交通大学（曲江校区）,三兆公墓,南,21.190
西安交通大学（曲江校区）,西安市曲江第一学校,西,17.889
西安交通大学（曲江校区）,曲江立交交汇点,南,26.077
小寨村小区,隋大兴唐长安城明德门遗址公园,西南,18.868
小寨村小区,紫薇永和坊,南,26.926
小寨村小区,陕西师范大学,南,17.117
小寨村小区,赛格购物中心,西北,2.828
小寨村小区,陕西历史博物馆,东北,5.831
小寨村小区,大雁塔,东,14.142
小寨村小区,大唐芙蓉园,东,25.632
盛大时代广场,甘家寨,东南,19.416
盛大时代广场,木塔寺生态遗址公园,南,26.476
太白小区,甘家寨,西,18.439
太白小区,隋大兴唐长安城明德门遗址公园,东南,26.249
西高新立交,木塔寺生态遗址公园,北,20.224
西高新立交,陕西大会堂,西北,26.627
西高新立交,雁南公园,东南,13.454
陕西大会堂,木塔寺生态遗址公园,东,25.495
陕西大会堂,西高新立交,东南,26.627
软件新城云汇谷,西安职业技术学院,北,21.840
软件新城云汇谷,西安人才公园,东北,10.000
西安职业技术学院,软件新城云汇谷,南,21.840
西安职业技术学院,西安人才公园,南,13.000
雁南公园,西高新立交,西北,13.454
赛格购物中心,隋大兴唐长安城明德门遗址公园,南,19.698
赛格购物中心,陕西师范大学,南,19.416
赛格购物中心,小寨村小区,东南,2.828
赛格购物中心,陕西历史博物馆,东,7.071
赛格购物中心,大雁塔,东,16.000
西安人才公园,软件新城云汇谷,西南,10.000
西安人才公园,西安职业技术学院,北,13.000
陕西历史博物馆,隋大兴唐长安城明德门遗址公园,西南,24.207
陕西历史博物馆,陕西师范大学,南,20.224
陕西历史博物馆,小寨村小区,西南,5.831
陕西历史博物馆,赛格购物中心,西,7.071
陕西历史博物馆,大雁塔,东,9.055
陕西历史博物馆,大唐芙蓉园,东南,22.472
大雁塔,西安市曲江第一学校,东,22.136
大雁塔,陕西师范大学,西南,22.472
大雁塔,小寨村小区,西,14.142
大雁塔,赛格购物中心,西,16.000
大雁塔,陕西历史博物馆,西,9.055
大雁塔,大唐芙蓉园,东南,14.866
大唐芙蓉园,西安市曲江第一学校,东,11.705
大唐芙蓉园,紫薇永和坊,西南,24.042
大唐芙蓉园,陕西师范大学,西,23.409
大唐芙蓉园,小寨村小区,西,25.632
大唐芙蓉园,陕西历史博物馆,西北,22.472
大唐芙蓉园,大雁塔,西北,14.866
